city_en,year,month,method,index_value,n_records
Dongguan,2005,7.0,Mosquito ovitrap index,5.05,1
Dongguan,2005,8.0,Mosquito ovitrap index,1.84,1
Dongguan,2005,9.0,Mosquito ovitrap index,1.1,1
Dongguan,2005,10.0,Mosquito ovitrap index,2.1,1
Dongguan,2016,1.0,Breteau index,1.22393,1
Dongguan,2016,1.0,Light trapping(CO2),0.0,1
Dongguan,2016,2.0,Breteau index,1.49406,1
Dongguan,2016,2.0,Light trapping(CO2),0.0,1
Dongguan,2016,3.0,Breteau index,1.61478,1
Dongguan,2016,3.0,Light trapping(CO2),0.02,1
Dongguan,2016,4.0,Breteau index,3.37739,1
Dongguan,2016,4.0,Light trapping(CO2),0.06,1
Dongguan,2016,5.0,Breteau index,4.4834,1
Dongguan,2016,5.0,Light trapping(CO2),0.05,1
Dongguan,2016,6.0,Breteau index,4.66387,1
Dongguan,2016,6.0,Light trapping(CO2),0.09,1
Dongguan,2016,7.0,Breteau index,3.68034,1
Dongguan,2016,7.0,Light trapping(CO2),0.07,1
Dongguan,2016,8.0,Breteau index,3.47281,1
Dongguan,2016,8.0,Light trapping(CO2),0.05,1
Dongguan,2016,9.0,Breteau index,3.20553,1
Dongguan,2016,9.0,Light trapping(CO2),0.03,1
Dongguan,2016,10.0,Breteau index,2.63974,1
Dongguan,2016,10.0,Light trapping(CO2),0.02,1
Dongguan,2016,11.0,Breteau index,1.89502,1
Dongguan,2016,11.0,Light trapping(CO2),0.02,1
Dongguan,2016,12.0,Breteau index,1.29921,1
Dongguan,2016,12.0,Light trapping(CO2),0.0,1
Dongguan,2017,1.0,Breteau index,0.8531,1
Dongguan,2017,1.0,Light trapping(CO2),0.0,1
Dongguan,2017,2.0,Breteau index,0.645518,1
Dongguan,2017,2.0,Light trapping(CO2),0.01,1
Dongguan,2017,3.0,Breteau index,0.826103,1
Dongguan,2017,3.0,Light trapping(CO2),0.02,1
Dongguan,2017,4.0,Breteau index,1.8723,1
Dongguan,2017,4.0,Light trapping(CO2),0.03,1
Dongguan,2017,5.0,Breteau index,2.14238,1
Dongguan,2017,5.0,Light trapping(CO2),0.05,1
Dongguan,2017,6.0,Breteau index,2.29295,1
Dongguan,2017,6.0,Light trapping(CO2),0.04,1
Dongguan,2017,7.0,Breteau index,3.27944,1
Dongguan,2017,7.0,Light trapping(CO2),0.05,1
Dongguan,2017,8.0,Breteau index,3.04218,1
Dongguan,2017,8.0,Light trapping(CO2),0.06,1
Dongguan,2017,9.0,Breteau index,2.59447,1
Dongguan,2017,9.0,Light trapping(CO2),0.03,1
Dongguan,2017,10.0,Breteau index,2.56616,1
Dongguan,2017,10.0,Light trapping(CO2),0.02,1
Dongguan,2017,11.0,Breteau index,1.6719,1
Dongguan,2017,11.0,Light trapping(CO2),0.01,1
Dongguan,2017,12.0,Breteau index,0.897382,1
Dongguan,2017,12.0,Light trapping(CO2),0.0,1
Guangzhou,2006,3.0,Breteau index,1.696,1
Guangzhou,2006,4.0,Breteau index,2.34,1
Guangzhou,2006,5.0,Breteau index,4.914,1
Guangzhou,2006,6.0,Breteau index,4.915,1
Guangzhou,2006,7.0,Breteau index,4.389,1
Guangzhou,2006,8.0,Breteau index,9.302,1
Guangzhou,2006,9.0,Breteau index,3.222,1
Guangzhou,2006,10.0,Breteau index,3.398,1
Guangzhou,2006,11.0,Breteau index,2.346,1
Guangzhou,2006,12.0,Breteau index,0.183,1
Guangzhou,2007,3.0,Breteau index,1.295,1
Guangzhou,2007,4.0,Breteau index,2.524,1
Guangzhou,2007,5.0,Breteau index,4.103,1
Guangzhou,2007,6.0,Breteau index,4.923,1
Guangzhou,2007,7.0,Breteau index,4.105,1
Guangzhou,2007,8.0,Breteau index,6.094,1
Guangzhou,2007,9.0,Breteau index,3.464,1
Guangzhou,2007,10.0,Breteau index,3.231,1
Guangzhou,2007,11.0,Breteau index,1.536,1
Guangzhou,2007,12.0,Breteau index,0.894,1
Guangzhou,2008,3.0,Breteau index,6.0745,2
Guangzhou,2008,4.0,Breteau index,25.335,2
Guangzhou,2008,4.0,Labor hour,4.0,1
Guangzhou,2008,5.0,Breteau index,15.1385,2
Guangzhou,2008,5.0,Labor hour,32.0,1
Guangzhou,2008,6.0,Breteau index,12.7,2
Guangzhou,2008,6.0,Labor hour,28.0,1
Guangzhou,2008,7.0,Breteau index,38.7075,2
Guangzhou,2008,7.0,Labor hour,24.0,1
Guangzhou,2008,8.0,Breteau index,22.6105,2
Guangzhou,2008,8.0,Labor hour,10.0,1
Guangzhou,2008,9.0,Breteau index,19.146,2
Guangzhou,2008,9.0,Labor hour,9.0,1
Guangzhou,2008,10.0,Breteau index,15.6355,2
Guangzhou,2008,10.0,Labor hour,20.0,1
Guangzhou,2008,11.0,Breteau index,3.0035,2
Guangzhou,2008,12.0,Breteau index,2.0955,2
Guangzhou,2009,1.0,Breteau index,0.0,1
Guangzhou,2009,1.0,Labor hour,0.0,1
Guangzhou,2009,1.0,Standard space index,3.33,1
Guangzhou,2009,2.0,Breteau index,6.1,1
Guangzhou,2009,2.0,Labor hour,0.0,1
Guangzhou,2009,2.0,Standard space index,4.0,1
Guangzhou,2009,3.0,Breteau index,2.076,2
Guangzhou,2009,3.0,Labor hour,8.0,1
Guangzhou,2009,3.0,Standard space index,20.0,1
Guangzhou,2009,4.0,Breteau index,12.182500000000001,2
Guangzhou,2009,4.0,Labor hour,13.0,1
Guangzhou,2009,4.0,Standard space index,42.0,1
Guangzhou,2009,5.0,Breteau index,1.768,2
Guangzhou,2009,5.0,Labor hour,14.0,1
Guangzhou,2009,5.0,Standard space index,8.0,1
Guangzhou,2009,6.0,Breteau index,30.154,2
Guangzhou,2009,6.0,Labor hour,22.0,1
Guangzhou,2009,6.0,Standard space index,5.3,1
Guangzhou,2009,7.0,Breteau index,14.7275,2
Guangzhou,2009,7.0,Labor hour,4.0,1
Guangzhou,2009,7.0,Standard space index,7.0,1
Guangzhou,2009,8.0,Breteau index,19.6225,2
Guangzhou,2009,8.0,Labor hour,9.0,1
Guangzhou,2009,8.0,Standard space index,46.0,1
Guangzhou,2009,9.0,Breteau index,12.0585,2
Guangzhou,2009,9.0,Labor hour,10.0,1
Guangzhou,2009,9.0,Standard space index,34.0,1
Guangzhou,2009,10.0,Breteau index,4.833,2
Guangzhou,2009,10.0,Labor hour,8.0,1
Guangzhou,2009,10.0,Standard space index,3.3,1
Guangzhou,2009,11.0,Breteau index,1.597,2
Guangzhou,2009,11.0,Labor hour,0.0,1
Guangzhou,2009,11.0,Standard space index,4.5,1
Guangzhou,2009,12.0,Breteau index,0.981,2
Guangzhou,2009,12.0,Labor hour,0.0,1
Guangzhou,2009,12.0,Standard space index,0.0,1
Guangzhou,2010,1.0,Breteau index,1.96,1
Guangzhou,2010,1.0,Labor hour,0.0,1
Guangzhou,2010,1.0,Standard space index,6.0,1
Guangzhou,2010,2.0,Breteau index,5.56,1
Guangzhou,2010,2.0,Labor hour,0.0,1
Guangzhou,2010,2.0,Standard space index,10.0,1
Guangzhou,2010,3.0,Breteau index,4.647,2
Guangzhou,2010,3.0,Labor hour,5.0,1
Guangzhou,2010,3.0,Standard space index,5.0,1
Guangzhou,2010,4.0,Breteau index,6.3445,2
Guangzhou,2010,4.0,Labor hour,5.0,1
Guangzhou,2010,4.0,Standard space index,25.0,1
Guangzhou,2010,5.0,Breteau index,6.2815,2
Guangzhou,2010,5.0,Labor hour,10.0,1
Guangzhou,2010,5.0,Standard space index,19.7,1
Guangzhou,2010,6.0,Breteau index,11.0365,2
Guangzhou,2010,6.0,Labor hour,49.0,1
Guangzhou,2010,6.0,Standard space index,77.3,1
Guangzhou,2010,7.0,Breteau index,10.1955,2
Guangzhou,2010,7.0,Labor hour,19.0,1
Guangzhou,2010,7.0,Standard space index,24.2,1
Guangzhou,2010,8.0,Breteau index,17.353,2
Guangzhou,2010,8.0,Labor hour,70.0,1
Guangzhou,2010,8.0,Standard space index,84.8,1
Guangzhou,2010,9.0,Breteau index,11.3165,2
Guangzhou,2010,9.0,Labor hour,20.0,1
Guangzhou,2010,9.0,Standard space index,53.0,1
Guangzhou,2010,10.0,Breteau index,2.5345,2
Guangzhou,2010,10.0,Labor hour,21.0,1
Guangzhou,2010,10.0,Standard space index,13.6,1
Guangzhou,2010,11.0,Breteau index,3.0255,2
Guangzhou,2010,11.0,Labor hour,5.0,1
Guangzhou,2010,11.0,Standard space index,6.1,1
Guangzhou,2010,12.0,Breteau index,0.43,2
Guangzhou,2010,12.0,Labor hour,0.0,1
Guangzhou,2010,12.0,Standard space index,4.6,1
Guangzhou,2011,3.0,Breteau index,0.569,1
Guangzhou,2011,4.0,Breteau index,1.154,1
Guangzhou,2011,5.0,Breteau index,2.734,1
Guangzhou,2011,6.0,Breteau index,2.91,1
Guangzhou,2011,7.0,Breteau index,4.607,1
Guangzhou,2011,8.0,Breteau index,4.432,1
Guangzhou,2011,9.0,Breteau index,4.784,1
Guangzhou,2011,10.0,Breteau index,4.142,1
Guangzhou,2011,11.0,Breteau index,1.57,1
Guangzhou,2011,12.0,Breteau index,3.267,1
Guangzhou,2012,3.0,Breteau index,1.396,1
Guangzhou,2012,4.0,Breteau index,8.708,1
Guangzhou,2012,5.0,Breteau index,4.264,1
Guangzhou,2012,6.0,Breteau index,3.504,1
Guangzhou,2012,7.0,Breteau index,5.493,1
Guangzhou,2012,8.0,Breteau index,5.26,1
Guangzhou,2012,9.0,Breteau index,5.378,1
Guangzhou,2012,10.0,Breteau index,4.326,1
Guangzhou,2012,11.0,Breteau index,3.976,1
Guangzhou,2012,12.0,Breteau index,2.748,1
Guangzhou,2013,7.0,Light trapping,7.023333333333333,3
Guangzhou,2013,8.0,Labor hour,10.395,2
Guangzhou,2013,8.0,Light trapping,8.270000000000001,3
Guangzhou,2013,9.0,Labor hour,14.81,1
Guangzhou,2013,9.0,Light trapping,7.566666666666666,3
Guangzhou,2013,10.0,Labor hour,3.59,1
Guangzhou,2013,10.0,Light trapping,7.183333333333334,3
Guangzhou,2013,11.0,Labor hour,1.9100000000000001,2
Guangzhou,2013,11.0,Light trapping,1.5633333333333332,3
Guangzhou,2014,1.0,Labor hour,2.61,1
Guangzhou,2014,1.0,Mosquito ovitrap index,0.16,1
Guangzhou,2014,2.0,Labor hour,1.7,1
Guangzhou,2014,2.0,Mosquito ovitrap index,0.24,1
Guangzhou,2014,3.0,Labor hour,2.775,2
Guangzhou,2014,3.0,Mosquito ovitrap index,1.76,1
Guangzhou,2014,4.0,Labor hour,5.903333333333333,3
Guangzhou,2014,4.0,Mosquito ovitrap index,6.49,1
Guangzhou,2014,5.0,Labor hour,7.746666666666667,3
Guangzhou,2014,5.0,Mosquito ovitrap index,15.63,1
Guangzhou,2014,6.0,Labor hour,11.333333333333334,3
Guangzhou,2014,6.0,Mosquito ovitrap index,20.59,1
Guangzhou,2014,7.0,Labor hour,12.22,3
Guangzhou,2014,7.0,Mosquito ovitrap index,18.75,1
Guangzhou,2014,8.0,Labor hour,5.456666666666667,3
Guangzhou,2014,8.0,Mosquito ovitrap index,19.55,1
Guangzhou,2014,9.0,Labor hour,9.463333333333333,3
Guangzhou,2014,9.0,Mosquito ovitrap index,9.78,1
Guangzhou,2014,10.0,Labor hour,4.54,2
Guangzhou,2014,10.0,Mosquito ovitrap index,8.33,1
Guangzhou,2014,11.0,Labor hour,4.04,1
Guangzhou,2014,11.0,Mosquito ovitrap index,3.04,1
Guangzhou,2014,12.0,Labor hour,1.41,2
Guangzhou,2014,12.0,Mosquito ovitrap index,0.48,1
Guangzhou,2015,2.0,Labor hour,1.08,1
Guangzhou,2016,4.0,Adult-mosquito density index,1.565,2
Guangzhou,2016,5.0,Adult-mosquito density index,2.405,2
Guangzhou,2016,6.0,Adult-mosquito density index,2.965,2
Guangzhou,2016,7.0,Adult-mosquito density index,2.46,2
Guangzhou,2016,8.0,Adult-mosquito density index,2.105,2
Guangzhou,2016,9.0,Adult-mosquito density index,1.63,2
Guangzhou,2016,10.0,Adult-mosquito density index,1.1300000000000001,2
Guangzhou,2017,5.0,Adult-mosquito density index,3.59,1
Guangzhou,2017,5.0,Breteau index,1.86,1
Guangzhou,2017,5.0,Standard space index,1.38,1
Guangzhou,2017,6.0,Adult-mosquito density index,4.81,1
Guangzhou,2017,6.0,Breteau index,1.51,1
Guangzhou,2017,6.0,Standard space index,0.61,1
Guangzhou,2017,7.0,Adult-mosquito density index,4.62,1
Guangzhou,2017,7.0,Breteau index,1.73,1
Guangzhou,2017,7.0,Standard space index,0.8,1
Guangzhou,2017,8.0,Adult-mosquito density index,4.14,1
Guangzhou,2017,8.0,Breteau index,2.95,1
Guangzhou,2017,8.0,Standard space index,0.77,1
Guangzhou,2017,9.0,Adult-mosquito density index,3.69,1
Guangzhou,2017,9.0,Breteau index,2.79,1
Guangzhou,2017,9.0,Standard space index,1.19,1
Guangzhou,2017,10.0,Adult-mosquito density index,2.57,1
Guangzhou,2017,10.0,Breteau index,3.34,1
Guangzhou,2017,10.0,Standard space index,0.8,1
Guangzhou,2019,4.0,Standard space index,0.57,1
Guangzhou,2019,5.0,Adult-mosquito density index,4.04,1
Guangzhou,2019,5.0,Breteau index,5.34,1
Guangzhou,2019,5.0,Mosquito ovitrap index,12.28,1
Guangzhou,2019,5.0,Standard space index,1.1,1
Guangzhou,2019,6.0,Adult-mosquito density index,4.45,1
Guangzhou,2019,6.0,Breteau index,5.26,1
Guangzhou,2019,6.0,Mosquito ovitrap index,12.28,1
Guangzhou,2019,6.0,Standard space index,1.23,1
Guangzhou,2019,7.0,Adult-mosquito density index,3.85,1
Guangzhou,2019,7.0,Breteau index,5.01,1
Guangzhou,2019,7.0,Mosquito ovitrap index,11.39,1
Guangzhou,2019,7.0,Standard space index,1.23,1
Guangzhou,2019,8.0,Adult-mosquito density index,3.77,1
Guangzhou,2019,8.0,Breteau index,5.72,1
Guangzhou,2019,8.0,Mosquito ovitrap index,9.25,1
Guangzhou,2019,8.0,Standard space index,1.17,1
Guangzhou,2019,9.0,Adult-mosquito density index,3.68,1
Guangzhou,2019,9.0,Breteau index,4.73,1
Guangzhou,2019,9.0,Mosquito ovitrap index,8.54,1
Guangzhou,2019,9.0,Standard space index,1.07,1
Guangzhou,2019,10.0,Adult-mosquito density index,3.26,1
Guangzhou,2019,10.0,Breteau index,3.71,1
Guangzhou,2019,10.0,Mosquito ovitrap index,6.88,1
Guangzhou,2019,10.0,Standard space index,0.83,1
Guangzhou,2019,11.0,Adult-mosquito density index,1.77,1
Guangzhou,2019,11.0,Breteau index,2.39,1
Guangzhou,2019,11.0,Mosquito ovitrap index,4.09,1
Guangzhou,2019,11.0,Standard space index,0.4,1
Guangzhou,2020,4.0,Adult-mosquito density index,1.79,1
Guangzhou,2020,4.0,Breteau index,2.19,1
Guangzhou,2020,4.0,Mosquito ovitrap index,4.27,1
Guangzhou,2020,4.0,Standard space index,0.58,1
Guangzhou,2020,5.0,Adult-mosquito density index,3.57,1
Guangzhou,2020,5.0,Breteau index,3.74,1
Guangzhou,2020,5.0,Standard space index,1.1,1
Guangzhou,2020,6.0,Adult-mosquito density index,4.36,1
Guangzhou,2020,6.0,Breteau index,4.96,1
Guangzhou,2020,6.0,Mosquito ovitrap index,9.9,1
Guangzhou,2020,6.0,Standard space index,1.4,1
Guangzhou,2020,7.0,Adult-mosquito density index,3.51,1
Guangzhou,2020,7.0,Breteau index,4.5,1
Guangzhou,2020,7.0,Mosquito ovitrap index,10.08,1
Guangzhou,2020,7.0,Standard space index,1.07,1
Guangzhou,2020,8.0,Adult-mosquito density index,3.38,1
Guangzhou,2020,8.0,Breteau index,4.6,1
Guangzhou,2020,8.0,Mosquito ovitrap index,7.18,1
Guangzhou,2020,8.0,Standard space index,1.17,1
Guangzhou,2020,9.0,Adult-mosquito density index,3.57,1
Guangzhou,2020,9.0,Breteau index,4.32,1
Guangzhou,2020,9.0,Mosquito ovitrap index,7.95,1
Guangzhou,2020,9.0,Standard space index,1.3,1
Guangzhou,2020,10.0,Adult-mosquito density index,2.45,1
Guangzhou,2020,10.0,Breteau index,3.13,1
Guangzhou,2020,10.0,Mosquito ovitrap index,6.17,1
Guangzhou,2020,10.0,Standard space index,0.59,1
Guangzhou,2020,11.0,Adult-mosquito density index,1.43,1
Guangzhou,2020,11.0,Breteau index,2.21,1
Guangzhou,2020,11.0,Mosquito ovitrap index,4.09,1
Guangzhou,2020,11.0,Standard space index,0.41,1
Guangzhou,2021,2.0,Breteau index,0.7613,1
Guangzhou,2021,3.0,Breteau index,1.6133,1
Guangzhou,2021,4.0,Adult-mosquito density index,2.6,1
Guangzhou,2021,4.0,Breteau index,2.1925999999999997,2
Guangzhou,2021,4.0,Mosquito ovitrap index,6.4,1
Guangzhou,2021,4.0,Standard space index,0.58,1
Guangzhou,2021,5.0,Adult-mosquito density index,3.51,1
Guangzhou,2021,5.0,Breteau index,2.95,2
Guangzhou,2021,5.0,Mosquito ovitrap index,9.6,1
Guangzhou,2021,5.0,Standard space index,0.84,1
Guangzhou,2021,6.0,Adult-mosquito density index,4.36,1
Guangzhou,2021,6.0,Breteau index,3.91035,2
Guangzhou,2021,6.0,Standard space index,0.96,1
Guangzhou,2021,7.0,Adult-mosquito density index,3.53,1
Guangzhou,2021,7.0,Breteau index,3.2019,2
Guangzhou,2021,7.0,Mosquito ovitrap index,9.49,1
Guangzhou,2021,7.0,Standard space index,0.83,1
Guangzhou,2021,8.0,Adult-mosquito density index,3.15,1
Guangzhou,2021,8.0,Breteau index,3.068,2
Guangzhou,2021,8.0,Mosquito ovitrap index,8.48,1
Guangzhou,2021,8.0,Standard space index,0.8,1
Guangzhou,2021,9.0,Adult-mosquito density index,2.85,1
Guangzhou,2021,9.0,Breteau index,2.8489,2
Guangzhou,2021,9.0,Mosquito ovitrap index,7.95,1
Guangzhou,2021,9.0,Standard space index,0.75,1
Guangzhou,2021,10.0,Adult-mosquito density index,1.85,1
Guangzhou,2021,10.0,Breteau index,2.597,2
Guangzhou,2021,10.0,Mosquito ovitrap index,6.23,1
Guangzhou,2021,10.0,Standard space index,0.59,1
Guangzhou,2021,11.0,Adult-mosquito density index,1.4,1
Guangzhou,2021,11.0,Breteau index,2.1554,2
Guangzhou,2021,11.0,Mosquito ovitrap index,4.03,1
Guangzhou,2021,11.0,Standard space index,0.39,1
Guangzhou,2021,12.0,Breteau index,1.142,1
Guangzhou,2022,1.0,Breteau index,1.0151,1
Guangzhou,2022,2.0,Breteau index,0.8338,1
Guangzhou,2022,3.0,Breteau index,1.3776,1
Guangzhou,2022,4.0,Breteau index,2.2115,1
Guangzhou,2022,5.0,Breteau index,2.8187,1
Guangzhou,2022,6.0,Breteau index,3.1903,1
Guangzhou,2022,7.0,Breteau index,3.3535,1
Guangzhou,2022,8.0,Breteau index,2.9637,1
Guangzhou,2022,9.0,Breteau index,2.9003,1
Guangzhou,2022,10.0,Breteau index,2.2296,1
Guangzhou,2022,11.0,Breteau index,1.7402,1
Guangzhou,2022,12.0,Breteau index,1.432,1
Guangzhou,2023,1.0,Breteau index,1.1057,1
Guangzhou,2023,2.0,Breteau index,1.5227,1
Guangzhou,2023,3.0,Breteau index,1.6495,1
Guangzhou,2023,4.0,Breteau index,2.7009,1
Guangzhou,2023,5.0,Breteau index,3.6254,1
Guangzhou,2023,6.0,Breteau index,4.3958,1
Guangzhou,2023,7.0,Breteau index,4.5589,1
Guangzhou,2023,8.0,Breteau index,4.6858,1
Guangzhou,2023,9.0,Breteau index,4.8308,1
Guangzhou,2023,10.0,Breteau index,4.5136,1
Guangzhou,2023,11.0,Breteau index,2.9184,1
Guangzhou,2023,12.0,Breteau index,1.3595,1
Huizhou,2015,3.0,Breteau index,2.31776,1
Huizhou,2015,3.0,Mosquito ovitrap index,2.95327,1
Huizhou,2015,4.0,Breteau index,4.52336,1
Huizhou,2015,4.0,Mosquito ovitrap index,3.81308,1
Huizhou,2015,5.0,Breteau index,5.38318,1
Huizhou,2015,5.0,Mosquito ovitrap index,7.17757,1
Huizhou,2015,6.0,Breteau index,7.02804,1
Huizhou,2015,6.0,Mosquito ovitrap index,6.13084,1
Huizhou,2015,7.0,Breteau index,4.41121,1
Huizhou,2015,7.0,Mosquito ovitrap index,4.93458,1
Huizhou,2015,8.0,Breteau index,4.85981,1
Huizhou,2015,8.0,Mosquito ovitrap index,5.15888,1
Huizhou,2015,9.0,Breteau index,6.39252,1
Huizhou,2015,9.0,Mosquito ovitrap index,6.99065,1
Huizhou,2015,10.0,Breteau index,5.34579,1
Huizhou,2015,10.0,Mosquito ovitrap index,6.01869,1
Huizhou,2015,11.0,Breteau index,3.47664,1
Huizhou,2015,11.0,Mosquito ovitrap index,3.88785,1
Jiangmen,2014,3.0,Light trapping,7.5,4
Jiangmen,2014,4.0,Light trapping,9.0,4
Jiangmen,2014,5.0,Light trapping,20.5,4
Jiangmen,2014,6.0,Light trapping,13.0,4
Jiangmen,2014,7.0,Light trapping,10.5,4
Jiangmen,2014,8.0,Light trapping,17.75,4
Jiangmen,2014,9.0,Light trapping,8.5,4
Jiangmen,2014,10.0,Light trapping,2.875,4
Jiangmen,2014,11.0,Light trapping,13.625,4
Jiangmen,2014,12.0,Light trapping,9.25,4
Jiangmen,2015,1.0,Breteau index,2.3619,1
Jiangmen,2015,1.0,Mosquito ovitrap index,0.65445,1
Jiangmen,2015,2.0,Breteau index,1.82857,1
Jiangmen,2015,2.0,Mosquito ovitrap index,0.91623,1
Jiangmen,2015,3.0,Breteau index,3.42857,1
Jiangmen,2015,3.0,Mosquito ovitrap index,3.27225,1
Jiangmen,2015,4.0,Breteau index,2.97143,1
Jiangmen,2015,4.0,Mosquito ovitrap index,3.66492,1
Jiangmen,2015,5.0,Breteau index,1.98095,1
Jiangmen,2015,5.0,Mosquito ovitrap index,3.14136,1
Jiangmen,2015,6.0,Breteau index,2.13333,1
Jiangmen,2015,6.0,Mosquito ovitrap index,4.05759,1
Jiangmen,2015,7.0,Breteau index,3.27619,1
Jiangmen,2015,7.0,Mosquito ovitrap index,9.55497,1
Jiangmen,2015,8.0,Breteau index,12.4952,1
Jiangmen,2015,8.0,Mosquito ovitrap index,11.5183,1
Jiangmen,2015,9.0,Breteau index,14.1714,1
Jiangmen,2015,9.0,Mosquito ovitrap index,10.0785,1
Jiangmen,2015,10.0,Breteau index,9.21905,1
Jiangmen,2015,10.0,Mosquito ovitrap index,9.55497,1
Jiangmen,2015,11.0,Breteau index,8.91429,1
Jiangmen,2015,11.0,Mosquito ovitrap index,4.97382,1
Jiangmen,2015,12.0,Breteau index,5.02857,1
Jiangmen,2015,12.0,Mosquito ovitrap index,3.27225,1
Jiangmen,2016,1.0,Breteau index,4.19048,1
Jiangmen,2016,1.0,Mosquito ovitrap index,0.39267,1
Jiangmen,2016,2.0,Breteau index,1.90476,1
Jiangmen,2016,2.0,Mosquito ovitrap index,1.17801,1
Jiangmen,2016,3.0,Breteau index,4.49524,1
Jiangmen,2016,3.0,Mosquito ovitrap index,2.48691,1
Jiangmen,2016,4.0,Breteau index,9.14286,1
Jiangmen,2016,4.0,Mosquito ovitrap index,5.49738,1
Jiangmen,2016,5.0,Breteau index,12.8762,1
Jiangmen,2016,5.0,Mosquito ovitrap index,20.5497,1
Jiangmen,2016,6.0,Breteau index,10.7429,1
Jiangmen,2016,6.0,Mosquito ovitrap index,19.8953,1
Jiangmen,2016,7.0,Breteau index,10.7429,1
Jiangmen,2016,7.0,Mosquito ovitrap index,15.1832,1
Jiangmen,2016,8.0,Breteau index,10.2857,1
Jiangmen,2016,8.0,Mosquito ovitrap index,12.5654,1
Jiangmen,2016,9.0,Breteau index,10.3619,1
Jiangmen,2016,9.0,Mosquito ovitrap index,10.4712,1
Jiangmen,2016,10.0,Breteau index,8.15238,1
